feature,grid_value,pred_mean
make,Audi,17235.730326797388
make,BMW,17235.730326797388
make,CHEVROLET,17235.730326797388
make,Chevrolet,17235.730326797388
make,Chevy,17235.730326797388
make,Fiat,17235.730326797388
make,Ford,17235.730326797388
make,GMC,17235.730326797388
make,HONDA,17235.730326797388
make,Honda,17235.730326797388
make,Jaguar,17235.730326797388
make,Jeep,17235.730326797388
make,KIA,17235.730326797388
make,Land Rover,17235.730326797388
make,Mercedes-Benz,17235.730326797388
make,Saab,17235.730326797388
make,Subaru,17235.730326797388
make,Volvo,17235.730326797388
make,ford,17235.730326797388
make,tesla,17235.730326797388
