feature,grid_value,pred_mean
make,Cadillac,14030.70508010508
make,Chevrolet,14030.70508010508
make,Dodge,14030.70508010508
make,Ford,14030.70508010508
make,HONDA,14030.70508010508
make,Honda,14030.70508010508
make,Hyundai,14030.70508010508
make,Jeep,14030.70508010508
make,Land Rover,14030.70508010508
make,Mercedes-Benz,14030.70508010508
make,Nissan,14030.70508010508
make,Porsche,14030.70508010508
make,Subaru,14030.70508010508
make,Toyota,14030.70508010508
make,ford,14030.70508010508
make,mazda,14030.70508010508
make,toyota,14030.70508010508
