feature,grid_value,pred_mean
year_num,1953,43650.0
year_num,1988,43650.0
year_num,1997,8480.211904761905
year_num,1998,8480.211904761905
year_num,2001,8480.211904761905
year_num,2002,8480.211904761905
year_num,2004,8480.211904761905
year_num,2005,8480.211904761905
year_num,2007,9178.351904761907
year_num,2009,9178.351904761907
year_num,2010,9178.351904761907
year_num,2011,9178.351904761907
year_num,2012,12410.676097711812
year_num,2013,12410.676097711812
year_num,2014,12410.676097711812
year_num,2015,12410.676097711812
year_num,2018,16518.895421245426
year_num,2019,16518.895421245426
year_num,2020,16518.895421245426
year_num,2022,16518.895421245426
year_num,2024,16518.895421245426
