feature,grid_value,pred_mean
mileage_num,1250,18127.54375
mileage_num,19612,18127.54375
mileage_num,23000,18127.54375
mileage_num,25224,18127.54375
mileage_num,27514,18127.54375
mileage_num,30414,18127.54375
mileage_num,37851,18127.54375
mileage_num,39853,18127.54375
mileage_num,59000,29017.104166666668
mileage_num,79000,29017.104166666668
mileage_num,89000,15834.046875
mileage_num,90000,15834.046875
mileage_num,95262,15834.046875
mileage_num,95682,15834.046875
mileage_num,98000,15834.046875
mileage_num,101615,13756.115624999999
mileage_num,110109,13756.115624999999
mileage_num,115000,13756.115624999999
mileage_num,120070,13756.115624999999
mileage_num,123272,13756.115624999999
mileage_num,124824,13756.115624999999
mileage_num,126000,13756.115624999999
mileage_num,128000,14483.811647727272
mileage_num,132799,14483.811647727272
mileage_num,135100,14483.811647727272
mileage_num,138892,14483.811647727272
mileage_num,142000,12734.63907424812
mileage_num,150000,12734.63907424812
mileage_num,188000,12734.63907424812
mileage_num,198000,12734.63907424812
mileage_num,211000,12734.63907424812
