feature,grid_value,pred_mean
make,BMW,13240.302279093456
make,Dodge,13240.302279093456
make,Ford,13240.302279093456
make,GMC,13240.302279093456
make,Honda,13240.302279093456
make,Hyundai,13240.302279093456
make,INFINITI,13240.302279093456
make,Jaguar,13240.302279093456
make,Jeep,13240.302279093456
make,Kia,13240.302279093456
make,Land Rover,13240.302279093456
make,Lexus,13240.302279093456
make,MG,13240.302279093456
make,Mercedes-Benz,13240.302279093456
make,Nissan,13240.302279093456
make,Subaru,13240.302279093456
make,Toyota,13240.302279093456
make,audi,13240.302279093456
make,chevy,13240.302279093456
make,dodge,13240.302279093456
make,ford,13240.302279093456
make,toyota,13240.302279093456
