feature,grid_value,pred_mean
make,ACURA,10022.203107532607
make,BMW,10022.203107532607
make,Chevrolet,10022.203107532607
make,Chevy,10022.203107532607
make,Dodge,10022.203107532607
make,FORD,10022.203107532607
make,Ford,10022.203107532607
make,GMC,10022.203107532607
make,Honda,10022.203107532607
make,Hyundai,10022.203107532607
make,Jeep,10022.203107532607
make,Land Rover,10022.203107532607
make,Lexus,10022.203107532607
make,Mercedes-Benz,10022.203107532607
make,Nissan,10022.203107532607
make,TOYOTA,10022.203107532607
make,acura,10022.203107532607
make,chevy,10022.203107532607
make,ford,10022.203107532607
make,subaru,10022.203107532607
make,vw,10022.203107532607
