feature,grid_value,pred_mean
year_num,1963,10774.216332055044
year_num,1964,10774.216332055044
year_num,1965,10774.216332055044
year_num,1966,10774.216332055044
year_num,1988,10774.216332055044
year_num,2002,10774.216332055044
year_num,2006,14467.656214752991
year_num,2009,14467.656214752991
year_num,2011,14467.656214752991
year_num,2012,14467.656214752991
year_num,2013,15010.01310624859
year_num,2014,15010.01310624859
year_num,2015,14202.44565756824
year_num,2016,14202.44565756824
year_num,2017,14202.44565756824
year_num,2018,14202.44565756824
year_num,2023,14202.44565756824
