feature,grid_value,pred_mean
make,Audi,11829.291764705882
make,BMW,11829.291764705882
make,CHRYSLER,11829.291764705882
make,Chevrolet,11829.291764705882
make,Dodge,11829.291764705882
make,Ford,11829.291764705882
make,GMC,11829.291764705882
make,Honda,11829.291764705882
make,Hyundai,11829.291764705882
make,Jeep,11829.291764705882
make,KIA,11829.291764705882
make,MAZDA,11829.291764705882
make,Mercedes Benz,11829.291764705882
make,RAM,11829.291764705882
make,Saab,11829.291764705882
make,Subaru,11829.291764705882
make,ford,11829.291764705882
make,honda,11829.291764705882
make,hyundai,11829.291764705882
make,subaru,11829.291764705882
