feature,grid_value,pred_mean
year_num,1966,12338.0429111273
year_num,1986,12338.0429111273
year_num,1995,12338.0429111273
year_num,2002,12338.0429111273
year_num,2006,12338.0429111273
year_num,2007,12338.0429111273
year_num,2008,13170.400951557094
year_num,2009,13170.400951557094
year_num,2011,13170.400951557094
year_num,2013,13170.400951557094
year_num,2014,16326.23079322638
year_num,2015,16326.23079322638
year_num,2016,16326.23079322638
year_num,2017,17714.641488413545
year_num,2018,17714.641488413545
year_num,2019,17714.641488413545
year_num,2020,17714.641488413545
year_num,2022,17714.641488413545
