feature,grid_value,pred_mean
make,Audi,13483.329660045836
make,Chevrolet,13483.329660045836
make,Dodge,13483.329660045836
make,Ford,13483.329660045836
make,GMC,13483.329660045836
make,HONDA,13483.329660045836
make,Honda,13483.329660045836
make,Hyundai,13483.329660045836
make,Jaguar,13483.329660045836
make,Jeep,13483.329660045836
make,KIA,13483.329660045836
make,Land Rover,13483.329660045836
make,Mercedes,13483.329660045836
make,Pontiac,13483.329660045836
make,Subaru,13483.329660045836
make,Tesla,13483.329660045836
make,Toyota,13483.329660045836
make,Volvo,13483.329660045836
make,chevrolet,13483.329660045836
make,hyundai,13483.329660045836
make,mitsubishi,13483.329660045836
