feature,grid_value,pred_mean
year_num,1969,12741.097950937949
year_num,1978,12741.097950937949
year_num,1999,12741.097950937949
year_num,2000,12741.097950937949
year_num,2001,12741.097950937949
year_num,2002,12741.097950937949
year_num,2004,12741.097950937949
year_num,2006,12741.097950937949
year_num,2009,12741.097950937949
year_num,2011,12741.097950937949
year_num,2012,14738.132432012431
year_num,2013,14738.132432012431
year_num,2014,14738.132432012431
year_num,2016,13420.992627372625
year_num,2017,23082.58207792208
year_num,2018,23082.58207792208
year_num,2019,23082.58207792208
year_num,2020,23082.58207792208
year_num,2022,23082.58207792208
year_num,2023,23082.58207792208
year_num,2026,23082.58207792208
