feature,grid_value,pred_mean
make,Audi,10035.48489941431
make,BMW,10035.48489941431
make,Chevrolet,10035.48489941431
make,Chevy,10035.48489941431
make,Dodge,10035.48489941431
make,GMC,10035.48489941431
make,Honda,10035.48489941431
make,Hyundai,10035.48489941431
make,INFINITI,10035.48489941431
make,Jeep,10035.48489941431
make,Kia,10035.48489941431
make,Mercedes,10035.48489941431
make,Mercedes-Benz,10035.48489941431
make,Porsche,10035.48489941431
make,SUBARU,10035.48489941431
make,Tesla,10035.48489941431
make,Toyota,10035.48489941431
make,Volvo,10035.48489941431
make,chevrolet,10035.48489941431
make,ford,10035.48489941431
make,infinity,10035.48489941431
make,nissan,10035.48489941431
make,subaru,10035.48489941431
