feature,grid_value,pred_mean
mileage_num,13586,43695.54545454545
mileage_num,19612,18578.259480519482
mileage_num,22991,18578.259480519482
mileage_num,25224,18578.259480519482
mileage_num,38565,18578.259480519482
mileage_num,39501,18578.259480519482
mileage_num,51000,18578.259480519482
mileage_num,56795,18578.259480519482
mileage_num,66365,18578.259480519482
mileage_num,66594,18578.259480519482
mileage_num,80600,14179.548051948052
mileage_num,86000,14179.548051948052
mileage_num,87000,14179.548051948052
mileage_num,90000,14179.548051948052
mileage_num,92276,14179.548051948052
mileage_num,102000,11691.737062937063
mileage_num,105189,11691.737062937063
mileage_num,109000,11691.737062937063
mileage_num,112000,11691.737062937063
mileage_num,125603,11691.737062937063
mileage_num,126000,11691.737062937063
mileage_num,127452,11691.737062937063
mileage_num,142654,11691.737062937063
mileage_num,145000,11691.737062937063
mileage_num,147063,11691.737062937063
mileage_num,150000,9186.609004329006
mileage_num,155000,9186.609004329006
mileage_num,161260,9186.609004329006
mileage_num,168321,9186.609004329006
mileage_num,178658,9186.609004329006
mileage_num,180000,9186.609004329006
mileage_num,254750,9186.609004329006
