feature,grid_value,pred_mean
mileage_num,87,65740.29999999999
mileage_num,10862,65740.29999999999
mileage_num,11506,65740.29999999999
mileage_num,15753,65740.29999999999
mileage_num,19604,65740.29999999999
mileage_num,32078,11572.780076394194
mileage_num,37237,11572.780076394194
mileage_num,42984,11572.780076394194
mileage_num,46000,11572.780076394194
mileage_num,69541,11572.780076394194
mileage_num,79000,11572.780076394194
mileage_num,81802,11572.780076394194
mileage_num,97000,11572.780076394194
mileage_num,100000,11572.780076394194
mileage_num,109899,11572.780076394194
mileage_num,115000,11572.780076394194
mileage_num,115508,11572.780076394194
mileage_num,123897,11572.780076394194
mileage_num,125150,11572.780076394194
mileage_num,133500,11572.780076394194
mileage_num,140000,9100.474499618029
mileage_num,141400,9100.474499618029
mileage_num,142654,9100.474499618029
mileage_num,142912,9100.474499618029
mileage_num,143504,9100.474499618029
mileage_num,150000,9100.474499618029
mileage_num,154941,9100.474499618029
mileage_num,155812,9100.474499618029
mileage_num,167173,8765.109864253393
mileage_num,169500,8765.109864253393
mileage_num,170000,8765.109864253393
mileage_num,172843,8765.109864253393
mileage_num,185500,8124.74047649829
