feature,grid_value,pred_mean
make,Audi,14811.500442101758
make,BMW,14811.500442101758
make,Chevrolet,14811.500442101758
make,Chrysler,14811.500442101758
make,Dodge,14811.500442101758
make,Ford,14811.500442101758
make,GMC,14811.500442101758
make,Honda,14811.500442101758
make,Infiniti,14811.500442101758
make,Jeep,14811.500442101758
make,Kia,14811.500442101758
make,MG,14811.500442101758
make,Mercedes-Benz,14811.500442101758
make,Nissan,14811.500442101758
make,Ram,14811.500442101758
make,Subaru,14811.500442101758
make,TOYOTA,14811.500442101758
make,Toyota,14811.500442101758
make,Volvo,14811.500442101758
make,acura,14811.500442101758
make,ford,14811.500442101758
make,honda,14811.500442101758
make,mercedes-benz,14811.500442101758
make,volvo,14811.500442101758
