feature,grid_value,pred_mean
make,Acura,11471.92207792208
make,Bedrock,11471.92207792208
make,CHEVROLET,11471.92207792208
make,Cadillac,11471.92207792208
make,Chevrolet,11471.92207792208
make,Chevy,11471.92207792208
make,Dodge,11471.92207792208
make,Ford,11471.92207792208
make,HYANDIA,11471.92207792208
make,Honda,11471.92207792208
make,Hyundai,11471.92207792208
make,Jaguar,11471.92207792208
make,Land Rover,11471.92207792208
make,Lexus,11471.92207792208
make,Mercedes-Benz,11471.92207792208
make,Nissan,11471.92207792208
make,Subaru,11471.92207792208
make,TOYOTA,11471.92207792208
make,Toyota,11471.92207792208
make,Volkswagen,11471.92207792208
make,chevrolet,11471.92207792208
make,infinity,11471.92207792208
make,mazda,11471.92207792208
make,subaru,11471.92207792208
make,toyota,11471.92207792208
make,volkswagen,11471.92207792208
