feature,grid_value,pred_mean
mileage_num,2700.0,27046.15384615385
mileage_num,20000.0,27046.15384615385
mileage_num,33000.0,27046.15384615385
mileage_num,35125.0,27046.15384615385
mileage_num,65000.0,11683.946608946604
mileage_num,66660.0,11683.946608946604
mileage_num,73327.0,11683.946608946604
mileage_num,74000.0,11683.946608946604
mileage_num,82675.0,11683.946608946604
mileage_num,83054.0,11683.946608946604
mileage_num,87000.0,11683.946608946604
mileage_num,88133.0,11683.946608946604
mileage_num,90000.0,11683.946608946604
mileage_num,91374.0,11683.946608946604
mileage_num,95262.0,11683.946608946604
mileage_num,108500.0,10605.736507936508
mileage_num,113000.0,10605.736507936508
mileage_num,117258.0,10605.736507936508
mileage_num,129000.0,10605.736507936508
mileage_num,145000.0,7808.613051146385
mileage_num,150818.0,7385.346384479718
mileage_num,156884.0,7385.346384479718
mileage_num,169500.0,7385.346384479718
mileage_num,172843.0,7385.346384479718
mileage_num,188779.0,17959.900000000005
mileage_num,189000.0,17959.900000000005
mileage_num,190964.0,17959.900000000005
