feature,grid_value,pred_mean
year_num,1931,19061.23039215686
year_num,1938,19061.23039215686
year_num,2002,19061.23039215686
year_num,2007,19203.477450980386
year_num,2008,19203.477450980386
year_num,2009,19203.477450980386
year_num,2010,19203.477450980386
year_num,2011,19203.477450980386
year_num,2012,19203.477450980386
year_num,2013,19203.477450980386
year_num,2014,19203.477450980386
year_num,2015,19203.477450980386
year_num,2016,19203.477450980386
year_num,2018,24263.89603386809
year_num,2021,24263.89603386809
year_num,2022,24263.89603386809
year_num,2023,24263.89603386809
year_num,2024,24263.89603386809
year_num,2025,24263.89603386809
