feature,grid_value,pred_mean
mileage_num,87.0,28974.833333333336
mileage_num,25257.0,28974.833333333336
mileage_num,61000.0,12694.788699690404
mileage_num,64877.0,12694.788699690404
mileage_num,66167.0,12694.788699690404
mileage_num,71621.0,12694.788699690404
mileage_num,82595.0,12694.788699690404
mileage_num,82675.0,12694.788699690404
mileage_num,93000.0,10487.70588235294
mileage_num,96000.0,10487.70588235294
mileage_num,108000.0,10487.70588235294
mileage_num,114000.0,10487.70588235294
mileage_num,117800.0,10487.70588235294
mileage_num,117810.0,10487.70588235294
mileage_num,120000.0,10487.70588235294
mileage_num,121327.0,10487.70588235294
mileage_num,121347.0,10487.70588235294
mileage_num,124824.0,13997.935758513933
mileage_num,125753.0,13997.935758513933
mileage_num,129400.0,13997.935758513933
mileage_num,130671.0,13997.935758513933
mileage_num,130759.0,13997.935758513933
mileage_num,133500.0,8642.352425180597
mileage_num,161000.0,8911.470072239423
mileage_num,163000.0,8911.470072239423
mileage_num,165000.0,8911.470072239423
mileage_num,180000.0,8911.470072239423
mileage_num,181790.0,8911.470072239423
mileage_num,188779.0,8911.470072239423
mileage_num,215000.0,8911.470072239423
mileage_num,235000.0,8911.470072239423
mileage_num,246000.0,8911.470072239423
mileage_num,310000.0,8911.470072239423
mileage_num,,13997.935758513933
