feature,grid_value,pred_mean
mileage_num,9000.0,31383.875
mileage_num,19539.0,31383.875
mileage_num,46500.0,31383.875
mileage_num,48019.0,31383.875
mileage_num,50000.0,31383.875
mileage_num,51000.0,31383.875
mileage_num,77916.0,16868.46600458365
mileage_num,82675.0,16868.46600458365
mileage_num,86540.0,9020.154501800718
mileage_num,95000.0,9020.154501800718
mileage_num,100000.0,9020.154501800718
mileage_num,105094.0,9020.154501800718
mileage_num,105189.0,9020.154501800718
mileage_num,110885.0,9020.154501800718
mileage_num,117455.0,9020.154501800718
mileage_num,125753.0,10484.962409963984
mileage_num,126000.0,10484.962409963984
mileage_num,130000.0,10484.962409963984
mileage_num,131000.0,10484.962409963984
mileage_num,131986.0,10484.962409963984
mileage_num,136170.0,10484.962409963984
mileage_num,136320.0,10484.962409963984
mileage_num,140000.0,10484.962409963984
mileage_num,141229.0,10484.962409963984
mileage_num,142168.0,10484.962409963984
mileage_num,144000.0,10484.962409963984
mileage_num,149000.0,10484.962409963984
mileage_num,150000.0,10484.962409963984
mileage_num,160000.0,10484.962409963984
mileage_num,160899.0,10484.962409963984
mileage_num,163000.0,10484.962409963984
mileage_num,167190.0,8018.234093637454
mileage_num,168886.0,8018.234093637454
mileage_num,170000.0,8018.234093637454
mileage_num,170484.0,8018.234093637454
mileage_num,174000.0,8018.234093637454
mileage_num,178907.0,8018.234093637454
mileage_num,181790.0,8018.234093637454
mileage_num,185000.0,8018.234093637454
mileage_num,190000.0,8018.234093637454
mileage_num,199000.0,8018.234093637454
mileage_num,220000.0,8018.234093637454
mileage_num,260000.0,8018.234093637454
