feature,grid_value,pred_mean
make,Acura,11591.544927971188
make,Audi,11591.544927971188
make,BMW,11591.544927971188
make,CHEVROLET,11591.544927971188
make,Chevrolet,11591.544927971188
make,Chevy,11591.544927971188
make,Dodge,11591.544927971188
make,Ford,11591.544927971188
make,GMC,11591.544927971188
make,Honda,11591.544927971188
make,Hyundai,11591.544927971188
make,Jaguar,11591.544927971188
make,Jeep,11591.544927971188
make,Kia,11591.544927971188
make,Lexus,11591.544927971188
make,Mercedes-Benz,11591.544927971188
make,Nissan,11591.544927971188
make,Ram,11591.544927971188
make,Subaru,11591.544927971188
make,Toyota,11591.544927971188
make,Volvo,11591.544927971188
make,chevy,11591.544927971188
make,chrysler,11591.544927971188
make,ford,11591.544927971188
make,hyundai,11591.544927971188
make,lexus,11591.544927971188
make,subaru,11591.544927971188
make,toyota,11591.544927971188
