feature,grid_value,pred_mean
year_num,1931,11401.995792483662
year_num,1938,11401.995792483662
year_num,1975,11401.995792483662
year_num,1978,11401.995792483662
year_num,1988,11401.995792483662
year_num,1999,11401.995792483662
year_num,2006,12160.142439953837
year_num,2007,12160.142439953837
year_num,2009,12160.142439953837
year_num,2010,12160.142439953837
year_num,2011,12160.142439953837
year_num,2012,12160.142439953837
year_num,2013,13711.504842257415
year_num,2014,13249.290789969833
year_num,2015,13249.290789969833
year_num,2016,13249.290789969833
year_num,2017,22333.323277863776
year_num,2018,22333.323277863776
year_num,2019,22333.323277863776
year_num,2022,22333.323277863776
year_num,2023,22333.323277863776
year_num,2024,22333.323277863776
