feature,grid_value,pred_mean
make,Buick,10067.946535785528
make,Cadillac,10067.946535785528
make,Chevrolet,10067.946535785528
make,Dodge,10067.946535785528
make,Ford,10067.946535785528
make,HONDA,10067.946535785528
make,Honda,10067.946535785528
make,Hyundai,10067.946535785528
make,Jeep,10067.946535785528
make,Land Rover,10067.946535785528
make,MAZDA,10067.946535785528
make,Mercedes-Benz,10067.946535785528
make,Ram,10067.946535785528
make,Subaru,10067.946535785528
make,Toyota,10067.946535785528
make,hyundai,10067.946535785528
make,hyundia,10067.946535785528
make,subaru,10067.946535785528
make,toyota,10067.946535785528
