feature,grid_value,pred_mean
make,AMC,13405.893234598007
make,Acura,13405.893234598007
make,Audi,13405.893234598007
make,BMW,13405.893234598007
make,Bedrock,13405.893234598007
make,Chevrolet,13405.893234598007
make,Dodge,13405.893234598007
make,Ford,13405.893234598007
make,Hyundai,13405.893234598007
make,Lexus,13405.893234598007
make,Mercedes-Benz,13405.893234598007
make,Mitsubishi,13405.893234598007
make,Nissan,13405.893234598007
make,RAM,13405.893234598007
make,Subaru,13405.893234598007
make,Volkswagen,13405.893234598007
make,Volvo,13405.893234598007
make,chevy,13405.893234598007
make,ford,13405.893234598007
make,subaru,13405.893234598007
make,toyota,13405.893234598007
