feature,grid_value,pred_mean
make,BMW,15902.811909104827
make,Buick,15902.811909104827
make,Chevrolet,15902.811909104827
make,Chrysler,15902.811909104827
make,Dodge,15902.811909104827
make,Ford,15902.811909104827
make,GMC,15902.811909104827
make,Honda,15902.811909104827
make,Hyundai,15902.811909104827
make,Jeep,15902.811909104827
make,Kia,15902.811909104827
make,Lincoln,15902.811909104827
make,MG,15902.811909104827
make,Mercedes-Benz,15902.811909104827
make,Nissan,15902.811909104827
make,RAM,15902.811909104827
make,Subaru,15902.811909104827
make,chevrolet,15902.811909104827
make,chevy,15902.811909104827
make,ford,15902.811909104827
make,hyundai,15902.811909104827
make,subaru,15902.811909104827
make,toyota,15902.811909104827
