feature,grid_value,pred_mean
mileage_num,25.0,48475.71428571428
mileage_num,37851.0,48475.71428571428
mileage_num,38563.0,48475.71428571428
mileage_num,54917.0,48475.71428571428
mileage_num,59000.0,48475.71428571428
mileage_num,66167.0,12647.665625
mileage_num,71241.0,12647.665625
mileage_num,79000.0,12647.665625
mileage_num,80000.0,12647.665625
mileage_num,88133.0,12647.665625
mileage_num,91437.0,12647.665625
mileage_num,96000.0,12647.665625
mileage_num,100000.0,12647.665625
mileage_num,101615.0,12647.665625
mileage_num,104000.0,12647.665625
mileage_num,114000.0,9671.34375
mileage_num,121327.0,9671.34375
mileage_num,121347.0,9671.34375
mileage_num,124781.0,9671.34375
mileage_num,124948.0,9671.34375
mileage_num,129000.0,9671.34375
mileage_num,132567.0,9671.34375
mileage_num,140000.0,8317.174107142859
mileage_num,150000.0,8317.174107142859
mileage_num,156884.0,8857.590625
mileage_num,159543.0,8857.590625
mileage_num,159707.0,8857.590625
mileage_num,164000.0,8857.590625
mileage_num,165000.0,8857.590625
mileage_num,166000.0,8857.590625
mileage_num,173000.0,8857.590625
mileage_num,215000.0,8857.590625
