feature,grid_value,pred_mean
year_num,1969,8458.424340175952
year_num,1977,8458.424340175952
year_num,1997,8458.424340175952
year_num,2002,8458.424340175952
year_num,2004,8458.424340175952
year_num,2007,8458.424340175952
year_num,2009,8458.424340175952
year_num,2011,9422.181329423263
year_num,2012,9422.181329423263
year_num,2013,11496.21392190153
year_num,2014,12494.799259144933
year_num,2016,12494.799259144933
year_num,2017,19958.50591397849
year_num,2018,19958.50591397849
year_num,2019,19958.50591397849
year_num,2020,19958.50591397849
year_num,2022,39933.30000000001
year_num,2023,39933.30000000001
year_num,2024,39933.30000000001
year_num,2025,39933.30000000001
