feature,grid_value,pred_mean
make,ACURA,12641.116302910052
make,Audi,12641.116302910052
make,BMW,12641.116302910052
make,CHEVROLET,12641.116302910052
make,Cadillac,12641.116302910052
make,Chevrolet,12641.116302910052
make,Chevy,12641.116302910052
make,Dodge,12641.116302910052
make,Ford,12641.116302910052
make,Honda,12641.116302910052
make,Hyundai,12641.116302910052
make,Jaguar,12641.116302910052
make,Kia,12641.116302910052
make,Land Rover,12641.116302910052
make,Lexus,12641.116302910052
make,Mini,12641.116302910052
make,Porsche,12641.116302910052
make,RAM,12641.116302910052
make,Ram,12641.116302910052
make,Saturn,12641.116302910052
make,Subaru,12641.116302910052
make,Toyota,12641.116302910052
make,VW,12641.116302910052
make,chevy,12641.116302910052
make,nissan,12641.116302910052
make,saab,12641.116302910052
make,volkswagen,12641.116302910052
