feature,grid_value,pred_mean
make,BMW,11447.9029024526
make,Chevy,11447.9029024526
make,Dodge,11447.9029024526
make,Ford,11447.9029024526
make,GMC,11447.9029024526
make,HONDA,11447.9029024526
make,Honda,11447.9029024526
make,Hyundai,11447.9029024526
make,INFINITI,11447.9029024526
make,Jaguar,11447.9029024526
make,Jeep,11447.9029024526
make,KIA,11447.9029024526
make,Land Rover,11447.9029024526
make,Lexus,11447.9029024526
make,Mercedes,11447.9029024526
make,Mercedes-Benz,11447.9029024526
make,Mini,11447.9029024526
make,Nissan,11447.9029024526
make,Subaru,11447.9029024526
make,Volvo,11447.9029024526
make,chevy,11447.9029024526
make,ford,11447.9029024526
make,gmc,11447.9029024526
make,honda,11447.9029024526
make,volkswagen,11447.9029024526
