feature,grid_value,pred_mean
make,Audi,14615.612820487047
make,BMW,14615.612820487047
make,Chevrolet,14615.612820487047
make,Ford,14615.612820487047
make,GMC,14615.612820487047
make,HONDA,14615.612820487047
make,Honda,14615.612820487047
make,Hyundai,14615.612820487047
make,Infiniti,14615.612820487047
make,Jeep,14615.612820487047
make,Kia,14615.612820487047
make,Land Rover,14615.612820487047
make,Lexus,14615.612820487047
make,Nissan,14615.612820487047
make,RAM,14615.612820487047
make,Ram,14615.612820487047
make,Subaru,14615.612820487047
make,TOYOTA,14615.612820487047
make,Tesla,14615.612820487047
make,Toyota,14615.612820487047
make,chrysler,14615.612820487047
make,mitsubishi,14615.612820487047
make,subaru,14615.612820487047
make,toyota,14615.612820487047
