feature,grid_value,pred_mean
year_num,1938,9711.612240829349
year_num,1969,9711.612240829349
year_num,1988,9711.612240829349
year_num,1995,9711.612240829349
year_num,2000,9711.612240829349
year_num,2002,9711.612240829349
year_num,2004,9711.612240829349
year_num,2007,10214.975877192985
year_num,2008,10214.975877192985
year_num,2009,10214.975877192985
year_num,2010,10214.975877192985
year_num,2011,10214.975877192985
year_num,2012,11407.630288957687
year_num,2014,11407.630288957687
year_num,2015,11407.630288957687
year_num,2016,17481.499999999996
year_num,2018,17481.499999999996
year_num,2019,31382.455555555553
year_num,2020,31382.455555555553
year_num,2022,31382.455555555553
year_num,2023,31382.455555555553
year_num,2024,31382.455555555553
