feature,grid_value,pred_mean
make,BMW,14437.877836657766
make,Cadillac,14437.877836657766
make,Chevrolet,14437.877836657766
make,Dodge,14437.877836657766
make,FORD,14437.877836657766
make,Ford,14437.877836657766
make,Honda,14437.877836657766
make,Jaguar,14437.877836657766
make,Jeep,14437.877836657766
make,Kia,14437.877836657766
make,Lexus,14437.877836657766
make,Mitsubishi,14437.877836657766
make,Subaru,14437.877836657766
make,TOYOTA,14437.877836657766
make,Toyota,14437.877836657766
make,Volkswagen,14437.877836657766
make,chevy,14437.877836657766
make,chrysler,14437.877836657766
make,ford,14437.877836657766
make,honda,14437.877836657766
make,subaru,14437.877836657766
make,volkswagen,14437.877836657766
