feature,importance_mean,importance_std
mileage_num,2028.046156886198,860.7193806823191
year_num,898.1462811942947,344.3374053224773
make,0.0,0.0
model,0.0,0.0
color,0.0,0.0
transmission,0.0,0.0
location,0.0,0.0
body_type,0.0,0.0
