feature,importance_mean,importance_std
mileage_num,2160.2277886127713,735.0561090924548
year_num,1303.1198796791439,185.94504730424612
make,0.0,0.0
model,0.0,0.0
color,0.0,0.0
transmission,0.0,0.0
location,0.0,0.0
body_type,0.0,0.0
