feature,importance_mean,importance_std
mileage_num,1607.7514186507929,531.0322415496569
year_num,1526.5087235449728,408.9964686588691
make,0.0,0.0
model,0.0,0.0
color,0.0,0.0
transmission,0.0,0.0
location,0.0,0.0
body_type,0.0,0.0
