feature,importance_mean,importance_std
mileage_num,3020.5512256493503,575.311601345747
year_num,348.1141666666666,97.09599351925755
make,0.0,0.0
model,0.0,0.0
color,0.0,0.0
transmission,0.0,0.0
location,0.0,0.0
body_type,0.0,0.0
