feature,importance_mean,importance_std
mileage_num,4956.355544767734,963.0800302439972
year_num,2673.5989863261743,644.936195607185
make,0.0,0.0
model,0.0,0.0
color,0.0,0.0
transmission,0.0,0.0
location,0.0,0.0
body_type,0.0,0.0
