feature,importance_mean,importance_std
mileage_num,4820.714796747968,690.7619219552193
year_num,959.6793495934969,64.90703130782049
make,0.0,0.0
model,0.0,0.0
color,0.0,0.0
transmission,0.0,0.0
location,0.0,0.0
body_type,0.0,0.0
