feature,importance_mean,importance_std
year_num,958.279080049993,940.710905077572
mileage_num,438.47781670662044,107.32792347877559
body_type,22.21241379310377,255.9916817628776
make,0.0,0.0
model,0.0,0.0
color,0.0,0.0
location,0.0,0.0
transmission,-392.74594218042387,350.03565909381143
