feature,importance_mean,importance_std
mileage_num,2228.3503592070433,326.6367548875836
year_num,1228.788888868113,493.8135672659365
make,0.0,0.0
model,0.0,0.0
location,0.0,0.0
transmission,0.0,0.0
body_type,-191.59407713498658,81.4320804843765
color,-266.5432909514735,276.6151700993218
