feature,importance_mean,importance_std
mileage_num,3268.1676973220565,126.80457447254885
year_num,513.6362667371375,109.56432606057176
color,148.27057082452376,124.22879222790107
make,0.0,0.0
transmission,0.0,0.0
model,0.0,0.0
location,0.0,0.0
body_type,0.0,0.0
