feature,grid_value,pred_mean
make,Audi,13355.46670355788
make,BMW,13355.46670355788
make,CHEVROLET,13355.46670355788
make,Chevrolet,13355.46670355788
make,Ford,13355.46670355788
make,Hyundai,13355.46670355788
make,Jeep,13355.46670355788
make,Lexus,13355.46670355788
make,Mitsubishi,13355.46670355788
make,Nissan,13355.46670355788
make,Subaru,13355.46670355788
make,Toyota,13355.46670355788
make,VW,13355.46670355788
make,chevy,13355.46670355788
make,ford,13355.46670355788
make,honda,13355.46670355788
make,infinity,13355.46670355788
make,subaru,13355.46670355788
