feature,grid_value,pred_mean
year_num,1931,11460.253130511463
year_num,1977,11460.253130511463
year_num,1988,11460.253130511463
year_num,1995,11460.253130511463
year_num,2002,11460.253130511463
year_num,2005,11460.253130511463
year_num,2008,11147.13036265432
year_num,2010,11147.13036265432
year_num,2011,11147.13036265432
year_num,2012,11994.003130511463
year_num,2013,13014.971186067018
year_num,2014,13014.971186067018
year_num,2015,13014.971186067018
year_num,2016,14982.941820987653
year_num,2017,14982.941820987653
year_num,2018,14982.941820987653
year_num,2019,17737.694907407407
year_num,2020,17737.694907407407
year_num,2021,17737.694907407407
year_num,2023,17737.694907407407
year_num,2024,17737.694907407407
year_num,2025,17737.694907407407
