feature,grid_value,pred_mean
mileage_num,25,28756.1875
mileage_num,18290,28756.1875
mileage_num,22500,28756.1875
mileage_num,33000,28756.1875
mileage_num,42250,28756.1875
mileage_num,61000,28756.1875
mileage_num,66660,9964.771993371212
mileage_num,72000,9964.771993371212
mileage_num,75000,9964.771993371212
mileage_num,78600,9964.771993371212
mileage_num,88000,9964.771993371212
mileage_num,88133,9964.771993371212
mileage_num,90000,9964.771993371212
mileage_num,91437,9964.771993371212
mileage_num,93146,9964.771993371212
mileage_num,96000,9964.771993371212
mileage_num,100000,9964.771993371212
mileage_num,117810,9964.771993371212
mileage_num,121000,7323.150781250001
mileage_num,128879,7926.425
mileage_num,130000,7926.425
mileage_num,130671,7926.425
mileage_num,131986,7926.425
mileage_num,132799,7926.425
mileage_num,134000,7926.425
mileage_num,135000,7926.425
mileage_num,136000,7926.425
mileage_num,136170,7926.425
mileage_num,139000,7926.425
mileage_num,140000,7926.425
mileage_num,141800,6390.262500000001
mileage_num,142350,6390.262500000001
mileage_num,143686,6390.262500000001
mileage_num,144000,6390.262500000001
mileage_num,150000,6390.262500000001
mileage_num,166000,7430.262500000001
mileage_num,167190,7430.262500000001
mileage_num,167845,7430.262500000001
mileage_num,174000,7430.262500000001
mileage_num,175019,7430.262500000001
mileage_num,180000,7430.262500000001
mileage_num,190000,7430.262500000001
mileage_num,194000,7430.262500000001
mileage_num,200000,7430.262500000001
mileage_num,222789,7430.262500000001
mileage_num,264719,7430.262500000001
