feature,grid_value,pred_mean
make,BMW,14430.887417530339
make,Buick,14430.887417530339
make,Chevrolet,14430.887417530339
make,Chevy,14430.887417530339
make,Dodge,14430.887417530339
make,Ford,14430.887417530339
make,GMC,14430.887417530339
make,HONDA,14430.887417530339
make,Honda,14430.887417530339
make,Hyundai,14430.887417530339
make,Jeep,14430.887417530339
make,Kia,14430.887417530339
make,Mazda,14430.887417530339
make,Mercedes-Benz,14430.887417530339
make,Subaru,14430.887417530339
make,Toyota,14430.887417530339
make,Volkswagen,14430.887417530339
make,subaru,14430.887417530339
make,tesla,14430.887417530339
make,toyota,14430.887417530339
make,volvo,14430.887417530339
