feature,grid_value,pred_mean
year_num,1956,13024.863636363636
year_num,1978,13024.863636363636
year_num,1986,13024.863636363636
year_num,1997,13024.863636363636
year_num,1999,13024.863636363636
year_num,2000,13024.863636363636
year_num,2002,13024.863636363636
year_num,2009,13977.445454545456
year_num,2010,13977.445454545456
year_num,2012,13977.445454545456
year_num,2013,14274.02438016529
year_num,2015,12780.91694214876
year_num,2016,12780.91694214876
year_num,2017,12780.91694214876
year_num,2018,16098.222727272727
year_num,2019,16098.222727272727
year_num,2020,16098.222727272727
