feature,grid_value,pred_mean
make,Audi,10668.60793230892
make,BMW,10668.60793230892
make,CHEVROLET,10668.60793230892
make,Cadillac,10668.60793230892
make,Chevrolet,10668.60793230892
make,Chevy,10668.60793230892
make,Dodge,10668.60793230892
make,Ford,10668.60793230892
make,Honda,10668.60793230892
make,Land Rover,10668.60793230892
make,Mercedes-Benz,10668.60793230892
make,Porsche,10668.60793230892
make,RAM,10668.60793230892
make,Subaru,10668.60793230892
make,Toyota,10668.60793230892
make,acura,10668.60793230892
make,chevrolet,10668.60793230892
make,chevy,10668.60793230892
make,chrysler,10668.60793230892
make,dodge,10668.60793230892
make,ford,10668.60793230892
make,infiniti,10668.60793230892
make,nissan,10668.60793230892
make,subaru,10668.60793230892
make,volkswagen,10668.60793230892
