feature,grid_value,pred_mean
year_num,1950,10797.295798319328
year_num,1980,10797.295798319328
year_num,1999,10797.295798319328
year_num,2002,10797.295798319328
year_num,2004,10797.295798319328
year_num,2006,11224.547584033615
year_num,2007,11224.547584033615
year_num,2008,11224.547584033615
year_num,2009,11224.547584033615
year_num,2010,11224.547584033615
year_num,2013,12983.148655462184
year_num,2014,12983.148655462184
year_num,2015,13710.796614645857
year_num,2016,13710.796614645857
year_num,2020,18324.612681436214
year_num,2021,18324.612681436214
year_num,2024,20446.03116883117
